date,wd,A1,A2,A3,A375,A395,A75,A7595,A95115,A115135,A135155,A155,A155A,A155B,A155C,A155D,B1,B2,B3,B375,B395,B75,B7595,B95115,B115135,B135155,B155,B155A,B155B,B155C,B155D,C1,C2,C3,C375,C395,C375D,C395D,C75,C7595,C95115,C115135,C135155,C155,C155A,C155B,C155C,C155D
2019-02-24,(日),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-25,(一),25558.0,25475.0,24433.0,24433.0,23876.0,29.0,557.0,5388.0,12754.0,5496.0,782.0,0.0,129.0,109.0,0.0,125.54,125.54,124.65,124.65,125.48,68.49,88.99,107.95,124.9,142.28,165.12,0.0,166.2,164.85,0.0,63.66,63.64,64.0,64.0,64.14,0.0,0.14,40.3,55.86,63.63,64.48,63.74,63.49,0.0,68.99,61.82,0.0
2019-02-26,(二),23745.0,23745.0,22757.0,22757.0,22368.0,15.0,389.0,5138.0,12002.0,5082.0,618.0,13.0,40.0,67.0,26.0,125.27,125.27,124.2,124.2,124.82,63.69,88.88,108.02,125.24,139.63,167.33,165.03,164.9,167.67,160.73,63.26,63.26,63.6,63.6,63.69,0.0,0.09,27.4,56.31,63.15,63.9,63.46,65.63,61.84,70.14,73.5,64.95
2019-02-27,(三),24100.0,24100.0,22991.0,22991.0,22630.0,15.0,361.0,5117.0,12063.0,5303.0,745.0,10.0,50.0,80.0,7.0,125.9,125.9,124.86,124.86,125.43,67.03,89.28,107.99,124.93,142.3,163.86,161.9,161.9,167.46,163.0,63.27,63.27,63.65,63.65,63.72,0.0,0.07,32.21,57.48,63.32,63.98,63.33,63.44,66.83,63.0,72.12,71.5
2019-02-28,(四),23550.0,23550.0,22544.0,22544.0,22185.0,13.0,359.0,4778.0,12060.0,5212.0,700.0,10.0,28.0,75.0,22.0,125.95,125.95,125.01,125.01,125.58,69.16,89.26,108.2,124.85,142.19,164.62,162.95,164.9,166.91,162.18,64.07,64.07,64.33,64.32,64.38,-0.01,0.05,37.92,59.3,63.95,64.53,64.12,66.14,70.03,61.41,80.11,64.97
2019-03-01,(五),25256.0,25176.0,23917.0,23917.0,23575.0,19.0,342.0,4711.0,12349.0,6227.0,1075.0,23.0,119.0,122.0,24.0,127.56,127.57,126.37,126.37,126.91,59.0,89.31,108.25,125.16,142.66,164.49,165.36,166.3,167.62,165.0,64.99,64.98,65.32,65.32,65.38,0.0,0.06,37.31,59.75,65.63,65.56,64.71,65.36,60.73,69.48,71.9,62.92
2019-03-02,(六),17813.0,17813.0,17112.0,17112.0,16851.0,11.0,261.0,4114.0,9408.0,3171.0,569.0,5.0,76.0,61.0,16.0,125.05,125.05,123.9,123.9,124.43,64.73,89.39,108.31,124.77,142.18,166.76,159.5,169.5,169.12,159.81,65.35,65.35,65.76,65.76,65.84,0.0,0.08,30.71,58.68,65.54,66.23,64.97,63.26,58.21,68.86,69.05,67.44
2019-03-03,(日),82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-04,(一),24258.0,24258.0,23182.0,23182.0,22841.0,18.0,341.0,4910.0,12520.0,5145.0,895.0,0.0,143.0,123.0,0.0,126.43,126.43,125.26,125.27,125.8,66.88,89.53,108.13,125.04,142.35,165.36,0.0,167.3,167.82,0.0,64.14,64.14,64.6,64.59,64.64,-0.01,0.04,38.7,60.47,64.76,64.86,63.77,63.45,0.0,70.0,69.26,0.0
2019-03-05,(二),22846.0,22768.0,21936.0,21936.0,21527.0,24.0,409.0,4745.0,11482.0,5137.0,702.0,10.0,77.0,64.0,12.0,126.17,126.25,125.07,125.08,125.76,66.01,89.16,108.04,125.1,142.37,166.19,159.35,165.6,165.3,158.58,64.58,64.55,65.06,65.06,65.14,0.0,0.08,31.18,59.28,65.37,65.52,64.11,61.01,69.71,68.93,66.8,67.95
