title,author,star,price,src,href,rank,year
人類大歷史,哈拉瑞,4.5,383,https://kbimages1-a.akamaihd.net/b9b6ae65-4546-41b4-95f0-badbe80eabb4/140/215/60/False/XG94YS9yUT-mOsJ2EcHXuw.jpg,https://www.kobo.com/tw/zh/ebook/XG94YS9yUT-mOsJ2EcHXuw,12,2019
華頓商學院最受歡迎的談判課：上完這堂課，世界都會聽你的【暢銷20萬冊增修版】,史都華．戴蒙,4.0,238,https://kbimages1-a.akamaihd.net/27ad2550-3e23-42e8-968c-92ac9f7aa742/140/215/60/False/ggdrbeOUdD-AAxCGEZ_YRA.jpg,https://www.kobo.com/tw/zh/ebook/ggdrbeOUdD-AAxCGEZ_YRA,13,2019
OKR：做最重要的事,約翰．杜爾John Doerr,4.5,287,https://kbimages1-a.akamaihd.net/4e857b8b-760d-44d6-a5dc-e1d2988abbb8/140/215/60/False/okr-2.jpg,https://www.kobo.com/tw/zh/ebook/okr-2,14,2019
說理Ⅱ：後真相時代穿透分歧、建立共識的思維技術,傑伊．海因里希斯 Jay Heinrichs,3.5,327,https://kbimages1-a.akamaihd.net/793cafaf-cec1-4f7e-89d3-3ee6bd2a7b5a/140/215/60/False/ii-236.jpg,https://www.kobo.com/tw/zh/ebook/ii-236,15,2019
史丹佛大學心理學講義，人生順利的簡單法則,凱莉．麥高尼格,4.5,179,https://kbimages1-a.akamaihd.net/110cf050-6b56-4a09-aa13-2f8c4495e1d0/140/215/60/False/K_FH2gEQmzWOnH7lhDD9ow.jpg,https://www.kobo.com/tw/zh/ebook/K_FH2gEQmzWOnH7lhDD9ow,16,2019
一日三餐減醣料理,娜塔,4.0,226,https://kbimages1-a.akamaihd.net/86f3522c-8893-462d-b5d1-58b98548fa3b/140/215/60/False/wC6_yU8f2Tmn6yRduJknXQ.jpg,https://www.kobo.com/tw/zh/ebook/wC6_yU8f2Tmn6yRduJknXQ,17,2019
複利效應：6步驟引爆收入、生活和各項成就倍數成長,戴倫．哈迪,4.5,226,https://kbimages1-a.akamaihd.net/a233e48b-4641-4f0f-8092-6df38f720339/140/215/60/False/MzOQZVyGeT29bQxNltbIVQ.jpg,https://www.kobo.com/tw/zh/ebook/MzOQZVyGeT29bQxNltbIVQ,18,2019
知識的假象：為什麼我們從未獨立思考？,史蒂芬．斯洛曼,4.5,202,https://kbimages1-a.akamaihd.net/7b5b336d-ae7c-4225-b749-088f26543455/140/215/60/False/1vVvKUHGazmi4kfTnhZy6g.jpg,https://www.kobo.com/tw/zh/ebook/1vVvKUHGazmi4kfTnhZy6g,19,2019
掌握市場週期：價值投資大師霍華．馬克斯教你看對市場時機，提高投資勝算,霍華．馬克斯,4.0,277,https://kbimages1-a.akamaihd.net/9ef558db-5cd5-4d51-856d-1d1e7cc5cabd/140/215/60/False/Jd4UKkLedD2QSbltV5s1-A.jpg,https://www.kobo.com/tw/zh/ebook/Jd4UKkLedD2QSbltV5s1-A,20,2019
先問，為什麼？顛覆慣性思考的黃金圈理論，啟動你的感召領導力（新增訂版）,賽門．西奈克 Simon Sinek,4.5,226,https://kbimages1-a.akamaihd.net/f908cd7e-6e2a-4df6-aa28-2c3de82adfa9/140/215/60/False/1iKY1ahEwzeXetqPe6mRaw.jpg,https://www.kobo.com/tw/zh/ebook/1iKY1ahEwzeXetqPe6mRaw,21,2019
被討厭的勇氣：自我啟發之父「阿德勒」的教導,岸見一郎,4.5,179,https://kbimages1-a.akamaihd.net/78553f24-ced7-4f1d-8515-5546421ebd4d/140/215/60/False/nvedXSs0ujimMMwueunJew.jpg,https://www.kobo.com/tw/zh/ebook/nvedXSs0ujimMMwueunJew,22,2019
窮查理的普通常識（增修版）：巴菲特50年智慧合夥人查理．蒙格的人生哲學,查理．蒙格 Charles T. Mun,5.0,277,https://kbimages1-a.akamaihd.net/d76ec374-f8fe-41f5-86a7-4009790dec98/140/215/60/False/9RQc6pAmtDSbQ3pEJML55Q.jpg,https://www.kobo.com/tw/zh/ebook/9RQc6pAmtDSbQ3pEJML55Q,23,2019
為什麼我們這樣生活，那樣工作？,查爾斯．杜希格,4.5,199,https://kbimages1-a.akamaihd.net/fb91c95d-45b3-47df-9dee-2d6077b53b85/140/215/60/False/NXUCYsE9cD6OWhvtdTqQQQ.jpg,https://www.kobo.com/tw/zh/ebook/NXUCYsE9cD6OWhvtdTqQQQ,24,2019
82年生的金智英,趙南柱（조남주）,4.5,162,https://kbimages1-a.akamaihd.net/ec986dea-a2e6-4f3d-b7c6-c635643222b7/140/215/60/False/ULG652KcSzCYqqQUTLxaDA.jpg,https://www.kobo.com/tw/zh/ebook/ULG652KcSzCYqqQUTLxaDA,25,2019
拖延心理學【暢銷35週年增修新版】：為什麼我老是愛拖延？是與生俱來的壞習慣，還是身不由己？,珍‧博克(Jane B. Burka)，萊諾拉‧袁(Lenora M. Yuen),4.5,198,https://kbimages1-a.akamaihd.net/c4991aba-98a2-4e92-979e-ffb4c1634eda/140/215/60/False/cRfjt415iTefgSmETom1dg.jpg,https://www.kobo.com/tw/zh/ebook/cRfjt415iTefgSmETom1dg,26,2019
